,Date,Texas Confirm
0,1/20,0.0
1,2/20,0.0
2,3/20,3604.0
3,4/20,24387.0
4,5/20,36288.0
5,6/20,95707.0
6,7/20,268248.0
7,8/20,193257.0
8,9/20,138038.0
9,10/20,153577.0
10,11/20,268384.0
11,12/20,574636.0
12,1/21,150764.0
13,2/21,281114.0
14,3/21,135691.0
