,,1/19,2/19,3/19,4/19,5/19,6/19,7/19,8/19,9/19,10/19,11/19,12/19,1/20,2/20,3/20,4/20,5/20,6/20,7/20,8/20,9/20,10/20,11/20,12/20,1/21,2/21,3/21
Port Name,Measure,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March
El Paso,Pedestrians,"582,606","382,224","643,868","693,927","695,229","678,316","730,640","678,933","632,289","668,038","620,342","620,043","552,882","489,272","360,236","102,600","152,933","192,853","328,754","170,385","203,782","175,283","143,163","163,156","171,100","160,630","215,193"
El Paso,Personal Vehicle Passengers,"1,825,166","1,616,681","1,748,432","1,250,211","1,442,079","1,408,249","1,361,495","1,486,697","1,588,136","1,624,273","1,578,702","1,773,122","1,593,590","1,504,954","771,902","316,446","481,214","581,467","634,703","619,858","521,418","577,312","487,447","624,225","658,330","589,229","707,124"
El Paso,Personal Vehicles,"1,020,507","928,499","982,585","719,553","827,984","791,349","764,756","844,277","899,295","933,425","877,426","938,792","924,114","891,337","479,447","236,255","336,028","391,211","422,833","410,830","355,558","393,275","347,705","416,644","428,025","391,076","460,011"
El Paso,Rail Containers Empty,"5,705","6,505","5,655","7,240","8,494","8,298","8,892","8,031","8,130","7,278","7,261","5,272","4,331","4,922","5,296","4,932","3,559","3,239","3,721","4,507","1,438","1,735","3,523","4,234","4,486","5,804","5,293"
El Paso,Rail Containers Loaded,"2,688","2,674","3,162","3,197","3,311","3,073","2,705","2,639","2,719","2,571","2,350","2,849","1,775","2,659","2,836","1,114",987,"2,214","2,644","2,569",612,356,"2,762","2,423","1,929","2,103","2,683"
El Paso,Train Passengers,580,509,545,560,670,605,630,620,,575,560,485,455,490,560,455,,420,470,460,261,,460,,445,481,
El Paso,Trains,123,122,118,112,134,121,136,132,135,115,112,97,92,98,114,92,79,82,92,94,58,45,92,89,87,97,105
El Paso,Truck Containers Empty,"18,432","16,757","17,378","12,234","14,503","13,745","15,376","15,138","14,950","16,411","15,051","14,451","28,720","25,435","17,795","7,811","7,550","9,268","9,749","10,025","10,124","10,784","8,131","10,487","8,615","8,491","10,131"
El Paso,Truck Containers Loaded,"52,875","49,336","51,731","45,331","53,845","49,556","52,429","54,651","51,066","55,782","50,227","44,040","37,792","37,230","20,587","3,106","2,559","4,304","4,996","4,837","5,363","5,510","4,610","7,362","4,430","4,408","5,888"
El Paso,Trucks,"71,216","65,977","68,998","57,442","68,236","63,190","67,656","69,387","65,559","71,749","64,906","58,125","67,451","62,892","13,506","11,146","10,081","13,919","15,283","15,381","15,946","16,206","13,201","18,216","13,008","12,871","16,391"
Hidalgo,Pedestrians,"166,078","156,891","177,617","191,910","193,181","184,152","204,331","195,415","189,325","199,442","203,449","285,908","188,082","178,722","243,614","51,977","67,929","72,021","59,853","94,417","81,427","94,206","100,102","103,184","95,630","81,514","105,503"
Hidalgo,Personal Vehicle Passengers,"793,981","681,528","789,452","638,877","669,158","668,626","601,338","606,149","637,034","657,847","727,674","795,891","694,258","608,793","480,520","185,919","302,611","294,725","238,277","310,034","308,916","355,369","375,947","386,853","402,015","330,060","443,957"
Hidalgo,Personal Vehicles,"388,002","342,015","385,365","314,881","338,547","316,872","280,828","288,542","311,340","325,647","340,163","356,890","332,449","303,087","246,617","118,143","173,694","177,473","151,007","183,482","181,907","205,564","212,314","220,488","220,968","190,258","245,344"
Hidalgo,Truck Containers Empty,"16,059","14,410","14,594","11,391","14,275","14,907","16,534","16,230","16,506","18,315","15,774","14,479","18,936","18,891","19,082","15,462","16,901","19,251","18,822","21,224","21,669","21,819","18,253","19,878","19,487","18,260","18,829"
Hidalgo,Truck Containers Loaded,"42,645","39,636","43,785","38,466","40,453","36,846","39,007","39,126","37,008","40,725","37,437","34,643","38,947","35,479","38,454","28,064","32,547","36,412","35,786","37,601","37,391","40,314","38,807","36,869","41,039","36,809","45,347"
Hidalgo,Trucks,"58,510","53,892","58,226","49,755","54,585","51,637","55,439","55,225","53,387","58,883","53,065","48,975","58,516","54,368","58,111","43,761","49,212","56,191","55,406","59,582","59,822","62,073","57,609","56,855","60,500","54,928","64,467"
Laredo,Pedestrians,"286,121","266,039","319,800","337,797","315,818","314,077","341,294","318,678","293,079","316,193","326,372","354,754","309,041","292,273","220,385","47,910","56,327","78,416","86,892","90,473","123,374","131,083","132,483","139,183","133,387","107,339","153,406"
Laredo,Personal Vehicle Passengers,"983,776","750,265","879,046","836,055","838,242","850,919","959,762","920,564","790,889","813,339","791,043","959,865","897,997","731,666","588,935","250,453","394,904","400,266","357,214","385,118","310,493","366,842","378,040","379,057","441,093","325,287","441,903"
Laredo,Personal Vehicles,"462,863","393,922","445,919","411,424","436,006","418,410","434,782","437,748","408,279","427,443","396,261","436,881","419,736","381,802","320,698","172,970","254,193","257,759","233,031","242,010","197,699","227,514","230,418","235,789","241,452","205,254","265,222"
Laredo,Rail Containers Empty,"16,920","14,493","15,333","16,482","17,056","16,303","17,828","18,298","16,349","18,073","16,068","16,762","17,099","16,859","19,756","17,952","16,755","17,083","19,672","21,331","20,581","23,097","22,681","22,883","23,560","19,805","24,938"
