,Date,TX Death
183,2020-07-23,173.0
184,2020-07-24,196.0
185,2020-07-25,168.0
186,2020-07-26,153.0
187,2020-07-27,673.0
188,2020-07-28,164.0
189,2020-07-29,313.0
190,2020-07-30,84.0
191,2020-07-31,295.0
192,2020-08-01,268.0
193,2020-08-02,0.0
194,2020-08-03,179.0
195,2020-08-04,245.0
196,2020-08-05,236.0
197,2020-08-06,306.0
198,2020-08-07,293.0
199,2020-08-08,247.0
200,2020-08-09,116.0
201,2020-08-10,31.0
202,2020-08-11,220.0
203,2020-08-12,326.0
204,2020-08-13,254.0
205,2020-08-14,313.0
206,2020-08-15,238.0
207,2020-08-16,143.0
208,2020-08-17,51.0
209,2020-08-18,216.0
210,2020-08-19,307.0
211,2020-08-20,234.0
212,2020-08-21,258.0
213,2020-08-22,214.0
214,2020-08-23,104.0
215,2020-08-24,25.0
216,2020-08-25,181.0
217,2020-08-26,229.0
218,2020-08-27,265.0
219,2020-08-28,196.0
220,2020-08-29,154.0
221,2020-08-30,90.0
222,2020-08-31,26.0
223,2020-09-01,144.0
224,2020-09-02,189.0
225,2020-09-03,221.0
226,2020-09-04,140.0
227,2020-09-05,177.0
228,2020-09-06,64.0
229,2020-09-07,20.0
230,2020-09-08,61.0
231,2020-09-09,139.0
232,2020-09-10,161.0
233,2020-09-11,144.0
234,2020-09-12,146.0
235,2020-09-13,47.0
236,2020-09-14,21.0
237,2020-09-15,132.0
238,2020-09-16,135.0
239,2020-09-17,112.0
240,2020-09-18,123.0
241,2020-09-19,135.0
242,2020-09-20,45.0
243,2020-09-21,24.0
244,2020-09-22,77.0
245,2020-09-23,135.0
246,2020-09-24,138.0
247,2020-09-25,94.0
248,2020-09-26,121.0
249,2020-09-27,37.0
250,2020-09-28,11.0
251,2020-09-29,71.0
252,2020-09-30,107.0
253,2020-10-01,112.0
254,2020-10-02,72.0
255,2020-10-03,97.0
256,2020-10-04,33.0
257,2020-10-05,8.0
258,2020-10-06,78.0
259,2020-10-07,119.0
260,2020-10-08,104.0
261,2020-10-09,98.0
262,2020-10-10,94.0
263,2020-10-11,31.0
264,2020-10-12,1.0
265,2020-10-13,64.0
266,2020-10-14,95.0
267,2020-10-15,94.0
268,2020-10-16,91.0
269,2020-10-17,81.0
270,2020-10-18,30.0
271,2020-10-19,8.0
272,2020-10-20,65.0
273,2020-10-21,114.0
274,2020-10-22,85.0
275,2020-10-23,89.0
276,2020-10-24,81.0
277,2020-10-25,48.0
278,2020-10-26,10.0
279,2020-10-27,81.0
280,2020-10-28,105.0
281,2020-10-29,118.0
282,2020-10-30,115.0
283,2020-10-31,89.0
284,2020-11-01,52.0
285,2020-11-02,20.0
286,2020-11-03,97.0
287,2020-11-04,126.0
288,2020-11-05,132.0
289,2020-11-06,136.0
290,2020-11-07,111.0
291,2020-11-08,43.0
292,2020-11-09,22.0
293,2020-11-10,98.0
294,2020-11-11,141.0
295,2020-11-12,143.0
296,2020-11-13,173.0
297,2020-11-14,147.0
298,2020-11-15,89.0
299,2020-11-16,20.0
300,2020-11-17,117.0
301,2020-11-18,190.0
302,2020-11-19,227.0
303,2020-11-20,184.0
304,2020-11-21,0.0
305,2020-11-22,260.0
306,2020-11-23,32.0
307,2020-11-24,163.0
308,2020-11-25,200.0
309,2020-11-26,205.0
310,2020-11-27,51.0
311,2020-11-28,102.0
312,2020-11-29,48.0
313,2020-11-30,22.0
314,2020-12-01,170.0
315,2020-12-02,208.0
316,2020-12-03,244.0
317,2020-12-04,255.0
318,2020-12-05,247.0
319,2020-12-06,92.0
320,2020-12-07,33.0
321,2020-12-08,181.0
322,2020-12-09,273.0
323,2020-12-10,243.0
324,2020-12-11,238.0
325,2020-12-12,237.0
326,2020-12-13,112.0
327,2020-12-14,26.0
328,2020-12-15,205.0
329,2020-12-16,252.0
330,2020-12-17,266.0
331,2020-12-18,0.0
332,2020-12-19,0.0
333,2020-12-20,0.0
334,2020-12-21,0.0
335,2020-12-22,1220.0
336,2020-12-23,34.0
337,2020-12-24,308.0
338,2020-12-25,200.0
339,2020-12-26,13.0
340,2020-12-27,51.0
341,2020-12-28,232.0
342,2020-12-29,241.0
343,2020-12-30,326.0
344,2020-12-31,348.0
345,2021-01-01,335.0
346,2021-01-02,-102.0
347,2021-01-03,49.0
348,2021-01-04,54.0
349,2021-01-05,250.0
350,2021-01-06,326.0
351,2021-01-07,393.0
352,2021-01-08,0.0
353,2021-01-09,753.0
354,2021-01-10,186.0
355,2021-01-11,56.0
356,2021-01-12,286.0
357,2021-01-13,405.0
358,2021-01-14,426.0
359,2021-01-15,400.0
360,2021-01-16,381.0
361,2021-01-17,207.0
362,2021-01-18,46.0
363,2021-01-19,309.0
364,2021-01-20,449.0
365,2021-01-21,441.0
366,2021-01-22,422.0
367,2021-01-23,408.0
368,2021-01-24,207.0
369,2021-01-25,71.0
370,2021-01-26,307.0
371,2021-01-27,467.0
372,2021-01-28,472.0
373,2021-01-29,349.0
374,2021-01-30,331.0
375,2021-01-31,171.0
376,2021-02-01,48.0
377,2021-02-02,331.0
378,2021-02-03,418.0
379,2021-02-04,439.0
380,2021-02-05,401.0
381,2021-02-06,348.0
382,2021-02-07,167.0
383,2021-02-08,57.0
384,2021-02-09,301.0
385,2021-02-10,386.0
386,2021-02-11,384.0
387,2021-02-12,323.0
388,2021-02-13,284.0
389,2021-02-14,150.0
390,2021-02-15,66.0
391,2021-02-16,52.0
392,2021-02-17,72.0
393,2021-02-18,96.0
394,2021-02-19,172.0
395,2021-02-20,226.0
396,2021-02-21,130.0
397,2021-02-22,64.0
398,2021-02-23,234.0
399,2021-02-24,339.0
400,2021-02-25,305.0
401,2021-02-26,290.0
402,2021-02-27,164.0
403,2021-02-28,198.0
404,2021-03-01,58.0
405,2021-03-02,270.0
406,2021-03-03,297.0
407,2021-03-04,316.0
408,2021-03-05,255.0
409,2021-03-06,233.0
410,2021-03-07,83.0
411,2021-03-08,32.0
412,2021-03-09,167.0
413,2021-03-10,224.0
414,2021-03-11,231.0
415,2021-03-12,212.0
416,2021-03-13,155.0
417,2021-03-14,69.0
418,2021-03-15,27.0
419,2021-03-16,130.0
420,2021-03-17,179.0
421,2021-03-18,198.0
422,2021-03-19,159.0
423,2021-03-20,119.0
424,2021-03-21,59.0
425,2021-03-22,65.0
426,2021-03-23,80.0
427,2021-03-24,178.0
428,2021-03-25,133.0
429,2021-03-26,118.0
430,2021-03-27,107.0
431,2021-03-28,63.0
432,2021-03-29,13.0
433,2021-03-30,109.0
434,2021-03-31,0.0
435,2021-04-01,243.0
436,2021-04-02,115.0
437,2021-04-03,86.0
